X,Y,Z,S
0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.1084744073741604e-05
0.0,0.0,2.0,2.7083711756858975e-05
0.0,0.0,3.0,4.937727135256864e-05
0.0,0.0,4.0,7.934348832350224e-05
0.0,0.0,5.0,0.00011815872130682692
0.0,0.0,6.0,0.00016654345381539315
0.0,0.0,7.0,0.00022448548406828195
0.0,0.0,8.0,0.00029098655795678496
0.0,0.0,9.0,0.0003638926718849689
0.0,0.0,10.0,0.0004398707824293524
0.0,0.0,11.0,0.000514571147505194
0.0,0.0,12.0,0.000582988781388849
0.0,0.0,13.0,0.0006399960839189589
0.0,0.0,14.0,0.0006809673504903913
0.0,0.0,15.0,0.0007023981306701899
0.0,0.0,16.0,0.0007023981306701899
0.0,0.0,17.0,0.0006809673504903913
0.0,0.0,18.0,0.0006399960839189589
0.0,0.0,19.0,0.000582988781388849
0.0,0.0,20.0,0.000514571147505194
0.0,0.0,21.0,0.0004398707824293524
0.0,0.0,22.0,0.0003638926718849689
0.0,0.0,23.0,0.00029098655795678496
0.0,0.0,24.0,0.00022448548406828195
0.0,0.0,25.0,0.00016654345381539315
0.0,0.0,26.0,0.00011815872130682692
0.0,0.0,27.0,7.934348832350224e-05
0.0,0.0,28.0,4.937727135256864e-05
0.0,0.0,29.0,2.7083711756858975e-05
0.0,0.0,30.0,1.1084744073741604e-05
0.0,0.0,31.0,0.0
0.0,1.0,0.0,1.1084744073741604e-05
0.0,1.0,1.0,2.850584132829681e-05
0.0,1.0,2.0,5.3650270274374634e-05
0.0,1.0,3.0,8.868745499057695e-05
0.0,1.0,4.0,0.0001357832079520449
0.0,1.0,5.0,0.00019678632088471204
0.0,1.0,6.0,0.00027282920200377703
0.0,1.0,7.0,0.0003638926718849689
0.0,1.0,8.0,0.0004684074083343148
0.0,1.0,9.0,0.000582988781388849
0.0,1.0,10.0,0.0007023981306701899
0.0,1.0,11.0,0.0008197992574423552
0.0,1.0,12.0,0.0009273263858631253
0.0,1.0,13.0,0.0010169206652790308
0.0,1.0,14.0,0.0010813126573339105
0.0,1.0,15.0,0.0011149933561682701
0.0,1.0,16.0,0.0011149933561682701
0.0,1.0,17.0,0.0010813126573339105
0.0,1.0,18.0,0.0010169206652790308
0.0,1.0,19.0,0.0009273263858631253
0.0,1.0,20.0,0.0008197992574423552
0.0,1.0,21.0,0.0007023981306701899
0.0,1.0,22.0,0.000582988781388849
0.0,1.0,23.0,0.0004684074083343148
0.0,1.0,24.0,0.0003638926718849689
0.0,1.0,25.0,0.00027282920200377703
0.0,1.0,26.0,0.00019678632088471204
0.0,1.0,27.0,0.0001357832079520449
0.0,1.0,28.0,8.868745499057695e-05
0.0,1.0,29.0,5.3650270274374634e-05
0.0,1.0,30.0,2.850584132829681e-05
0.0,1.0,31.0,1.1084744073741604e-05
0.0,2.0,0.0,2.7083711756858975e-05
0.0,2.0,1.0,5.3650270274374634e-05
0.0,2.0,2.0,9.199463966069743e-05
0.0,2.0,3.0,0.0001454251178074628
0.0,2.0,4.0,0.00021724448015447706
0.0,2.0,5.0,0.0003102721238974482
0.0,2.0,6.0,0.0004262347356416285
0.0,2.0,7.0,0.0005651033716276288
0.0,2.0,8.0,0.0007244846783578396
0.0,2.0,9.0,0.000899217207916081
0.0,2.0,10.0,0.0010813126573339105
0.0,2.0,11.0,0.0012603448703885078
0.0,2.0,12.0,0.0014243198093026876
0.0,2.0,13.0,0.0015609480906277895
0.0,2.0,14.0,0.0016591435996815562
0.0,2.0,15.0,0.0017105063889175653
0.0,2.0,16.0,0.0017105063889175653
0.0,2.0,17.0,0.0016591435996815562
0.0,2.0,18.0,0.0015609480906277895
0.0,2.0,19.0,0.0014243198093026876
0.0,2.0,20.0,0.0012603448703885078
0.0,2.0,21.0,0.0010813126573339105
0.0,2.0,22.0,0.000899217207916081
0.0,2.0,23.0,0.0007244846783578396
0.0,2.0,24.0,0.0005651033716276288
0.0,2.0,25.0,0.0004262347356416285
0.0,2.0,26.0,0.0003102721238974482
0.0,2.0,27.0,0.00021724448015447706
0.0,2.0,28.0,0.0001454251178074628
0.0,2.0,29.0,9.199463966069743e-05
0.0,2.0,30.0,5.3650270274374634e-05
0.0,2.0,31.0,2.7083711756858975e-05
0.0,3.0,0.0,4.937727135256864e-05
0.0,3.0,1.0,8.868745499057695e-05
0.0,3.0,2.0,0.0001454251178074628
0.0,3.0,3.0,0.00022448548406828195
0.0,3.0,4.0,0.00033075586543418467
0.0,3.0,5.0,0.0004684074083343148
0.0,3.0,6.0,0.0006399960839189589
0.0,3.0,7.0,0.0008454782655462623
0.0,3.0,8.0,0.0010813126573339105
0.0,3.0,9.0,0.0013398622395470738
0.0,3.0,10.0,0.0016093060839921236
0.0,3.0,11.0,0.0018742175307124853
0.0,3.0,12.0,0.002116850344464183
0.0,3.0,13.0,0.0023190162610262632
0.0,3.0,14.0,0.0024643149226903915
0.0,3.0,15.0,0.0025403157342225313
0.0,3.0,16.0,0.0025403157342225313
0.0,3.0,17.0,0.0024643149226903915
0.0,3.0,18.0,0.0023190162610262632
0.0,3.0,19.0,0.002116850344464183
0.0,3.0,20.0,0.0018742175307124853
0.0,3.0,21.0,0.0016093060839921236
0.0,3.0,22.0,0.0013398622395470738
0.0,3.0,23.0,0.0010813126573339105
0.0,3.0,24.0,0.0008454782655462623
0.0,3.0,25.0,0.0006399960839189589
0.0,3.0,26.0,0.0004684074083343148
0.0,3.0,27.0,0.00033075586543418467
0.0,3.0,28.0,0.00022448548406828195
